k_electrodes,stim_radius,precision,recall,hits,off_target,distributed_ensemble
4,0.0200,0.0000,0.0000,0,10,0
4,0.0400,0.0435,0.0100,2,44,0
4,0.0600,0.0275,0.0150,3,106,0
4,0.1000,0.0372,0.0550,11,285,0
4,0.1500,0.0934,0.3100,62,602,0
4,0.2200,0.1499,0.9750,195,1106,0
4,0.3000,0.1125,1.0000,200,1577,0
9,0.0200,0.1944,0.0350,7,29,0
9,0.0400,0.2321,0.1300,26,86,0
9,0.0600,0.2564,0.3500,70,203,0
9,0.1000,0.1949,0.7200,144,595,0
9,0.1500,0.1440,0.9850,197,1171,0
9,0.2200,0.1075,1.0000,200,1660,0
9,0.3000,0.0917,1.0000,200,1981,0
16,0.0200,0.1034,0.0150,3,26,0
16,0.0400,0.0519,0.0400,8,146,0
16,0.0600,0.0985,0.2000,40,366,0
16,0.1000,0.1239,0.7250,145,1025,0
16,0.1500,0.1144,1.0000,200,1549,0
16,0.2200,0.0923,1.0000,200,1967,0
16,0.3000,0.0909,1.0000,200,2000,0
36,0.0200,0.1340,0.0650,13,84,0
36,0.0400,0.1019,0.2150,43,379,0
36,0.0600,0.1110,0.5200,104,833,0
36,0.1000,0.1097,1.0000,200,1623,0
36,0.1500,0.0920,1.0000,200,1975,0
36,0.2200,0.0909,1.0000,200,2000,0
36,0.3000,0.0909,1.0000,200,2000,0
64,0.0200,0.1094,0.1050,21,171,0
64,0.0400,0.1263,0.4750,95,657,0
64,0.0600,0.1070,0.8450,169,1411,0
64,0.1000,0.0961,1.0000,200,1881,0
64,0.1500,0.0909,1.0000,200,2000,0
64,0.2200,0.0909,1.0000,200,2000,0
64,0.3000,0.0909,1.0000,200,2000,0
144,0.0200,0.1235,0.2550,51,362,0
144,0.0400,0.1083,0.8800,176,1449,0
144,0.0600,0.0978,1.0000,200,1846,0
144,0.1000,0.0909,1.0000,200,2000,0
144,0.1500,0.0909,1.0000,200,2000,0
144,0.2200,0.0909,1.0000,200,2000,0
144,0.3000,0.0909,1.0000,200,2000,0
