sample_id,target_state,protocol,hippocampus,amygdala,pfc,sensory,insula,motor,cue_strength,stimulation_strength,feedback_strength,similarity_to_target,reconstruction_error,safety_risk
S00000,calm,cue,0.3672,0.3709,0.5844,0.5449,0.2693,0.3465,0.6115,0.1350,0.3700,0.9689,0.1464,0.2310
S00001,calm,neurofeedback,0.4802,0.1425,0.6929,0.5077,0.3520,0.2396,0.5360,0.2523,0.6214,0.9918,0.0964,0.1045
S00002,calm,dbs,0.4669,0.2394,0.6563,0.5385,0.4138,0.4561,0.7457,0.5578,0.5790,0.9855,0.0927,0.3094
S00003,calm,mimo,0.4275,0.2487,0.5161,0.4003,0.3117,0.5011,0.2862,0.1806,0.3724,0.9574,0.1701,0.2311
S00004,calm,cue,0.4467,0.3787,0.6747,0.4623,0.2753,0.3176,0.8916,0.5040,0.5956,0.9784,0.1224,0.2178
S00005,calm,neurofeedback,0.3529,0.2149,0.7034,0.4072,0.4093,0.4682,0.4165,0.6687,0.5171,0.9856,0.1051,0.1398
S00006,calm,dbs,0.3916,0.1850,0.5989,0.5529,0.3870,0.4785,0.1877,0.4965,0.7837,0.9772,0.1211,0.2792
S00007,calm,mimo,0.4309,0.4092,0.6680,0.4523,0.3762,0.2545,0.6128,0.1869,0.4978,0.9753,0.1263,0.2953
S00008,calm,cue,0.4331,0.1552,0.5588,0.4360,0.4892,0.4584,0.7100,0.4436,0.7729,0.9677,0.1430,0.1939
S00009,calm,neurofeedback,0.4545,0.1778,0.5849,0.4681,0.3263,0.4705,0.4888,0.1615,0.7585,0.9761,0.1324,0.1297
S00010,calm,dbs,0.4308,0.2037,0.5652,0.4646,0.4290,0.2673,0.8961,0.5099,0.5005,0.9850,0.1313,0.3193
S00011,calm,mimo,0.3580,0.1853,0.7026,0.4775,0.3599,0.4414,0.1567,0.2628,0.6852,0.9919,0.0912,0.1695
S00012,calm,cue,0.3676,0.2640,0.5541,0.5514,0.3453,0.2663,0.6833,0.5240,0.9373,0.9810,0.1394,0.2082
S00013,calm,neurofeedback,0.4855,0.3693,0.7218,0.5544,0.4412,0.2771,0.7891,0.4502,0.1905,0.9846,0.0913,0.1983
S00014,calm,dbs,0.3846,0.3996,0.7201,0.4567,0.4352,0.2528,0.3122,0.5904,0.5140,0.9792,0.1129,0.4100
S00015,calm,mimo,0.3960,0.3987,0.5671,0.4451,0.3963,0.3891,0.5673,0.4217,0.8322,0.9649,0.1489,0.3187
S00016,calm,cue,0.4870,0.2236,0.6148,0.4165,0.3104,0.4176,0.4354,0.4702,0.5682,0.9812,0.1256,0.1699
S00017,calm,neurofeedback,0.4005,0.3815,0.6557,0.5196,0.3496,0.2457,0.8969,0.1640,0.3205,0.9787,0.1219,0.1955
S00018,calm,dbs,0.4670,0.1881,0.5222,0.4354,0.3993,0.3048,0.7537,0.2996,0.6807,0.9786,0.1483,0.3107
S00019,calm,mimo,0.4279,0.2163,0.5295,0.5339,0.4411,0.3026,0.8243,0.6277,0.2238,0.9759,0.1377,0.2474
S00020,calm,cue,0.4532,0.1816,0.4987,0.4871,0.4910,0.4475,0.8231,0.4474,0.8177,0.9581,0.1574,0.2180
S00021,calm,neurofeedback,0.3942,0.3677,0.7134,0.5829,0.4640,0.4377,0.8073,0.3638,0.6465,0.9825,0.0962,0.2035
S00022,calm,dbs,0.3619,0.3788,0.6948,0.4425,0.4594,0.3530,0.7486,0.2801,0.7799,0.9802,0.1106,0.4127
S00023,calm,mimo,0.4513,0.2603,0.7550,0.5053,0.4964,0.2652,0.7915,0.7001,0.3733,0.9921,0.0701,0.2331
S00024,calm,cue,0.4347,0.2540,0.5815,0.4233,0.4299,0.1966,0.6828,0.3082,0.6350,0.9801,0.1425,0.2186
S00025,calm,neurofeedback,0.3352,0.3790,0.6891,0.3872,0.3476,0.3188,0.1560,0.5185,0.4142,0.9792,0.1298,0.1888
S00026,calm,dbs,0.4172,0.1759,0.5716,0.4881,0.4247,0.3853,0.8222,0.4893,0.3908,0.9834,0.1230,0.2960
S00027,calm,mimo,0.4356,0.2541,0.6465,0.5232,0.4305,0.2666,0.2358,0.1709,0.5624,0.9898,0.0970,0.2367
S00028,calm,cue,0.4486,0.2916,0.4453,0.5019,0.2570,0.4303,0.4316,0.4979,0.3055,0.9452,0.1875,0.2209
S00029,calm,neurofeedback,0.3973,0.3400,0.6626,0.5556,0.4136,0.4697,0.1402,0.2695,0.8287,0.9792,0.1066,0.1920
S00030,calm,dbs,0.3974,0.2281,0.6621,0.5368,0.3906,0.4021,0.8178,0.5662,0.5297,0.9917,0.0864,0.2907
S00031,calm,mimo,0.4324,0.1849,0.5425,0.4609,0.3680,0.2563,0.2107,0.2588,0.7052,0.9863,0.1436,0.2084
S00032,calm,cue,0.4531,0.4041,0.6719,0.4441,0.4616,0.3703,0.4043,0.1235,0.4314,0.9752,0.1172,0.2742
S00033,calm,neurofeedback,0.4239,0.1879,0.6410,0.3826,0.3673,0.3775,0.6433,0.3626,0.2820,0.9910,0.1160,0.1321
S00034,calm,dbs,0.3313,0.3318,0.6692,0.4020,0.2892,0.2032,0.2693,0.3161,0.7590,0.9823,0.1453,0.3225
S00035,calm,mimo,0.3896,0.1807,0.5805,0.5323,0.4006,0.2756,0.7034,0.6898,0.3095,0.9878,0.1232,0.2065
S00036,calm,cue,0.3877,0.2520,0.5962,0.5510,0.3620,0.3950,0.7554,0.6988,0.2365,0.9839,0.1148,0.1985
S00037,calm,neurofeedback,0.4747,0.2090,0.6411,0.4670,0.3740,0.2962,0.5803,0.1926,0.9371,0.9924,0.1014,0.1410
S00038,calm,dbs,0.4866,0.2198,0.6994,0.4677,0.4062,0.3490,0.6658,0.3813,0.7370,0.9942,0.0755,0.2789
S00039,calm,mimo,0.3894,0.1847,0.6850,0.3993,0.3322,0.4375,0.2951,0.3988,0.6383,0.9893,0.1095,0.1656
S00040,calm,cue,0.4640,0.3730,0.5787,0.4720,0.4457,0.2295,0.1685,0.5520,0.5409,0.9663,0.1452,0.2754
S00041,calm,neurofeedback,0.4280,0.2137,0.5998,0.3799,0.2902,0.2439,0.4404,0.5676,0.4146,0.9917,0.1458,0.1330
S00042,calm,dbs,0.3744,0.2457,0.5275,0.4360,0.3080,0.3816,0.8813,0.4348,0.3764,0.9808,0.1544,0.3145
S00043,calm,mimo,0.4324,0.2613,0.6150,0.4358,0.4944,0.3517,0.4927,0.6436,0.6093,0.9816,0.1160,0.2652
S00044,calm,cue,0.3462,0.3563,0.6333,0.5024,0.3157,0.3754,0.5503,0.3023,0.9451,0.9794,0.1253,0.2259
S00045,calm,neurofeedback,0.3825,0.1940,0.7122,0.4137,0.3252,0.2634,0.5877,0.5641,0.9081,0.9986,0.1033,0.1145
S00046,calm,dbs,0.4656,0.3324,0.6647,0.4940,0.4853,0.3370,0.6624,0.3924,0.6999,0.9832,0.0991,0.3996
S00047,calm,mimo,0.3941,0.1927,0.6835,0.5154,0.4910,0.3625,0.3461,0.5694,0.6054,0.9911,0.0829,0.2138
S00048,calm,cue,0.4276,0.3951,0.6911,0.4839,0.3327,0.2372,0.1731,0.6971,0.8188,0.9782,0.1202,0.2355
S00049,calm,neurofeedback,0.3728,0.2722,0.6518,0.5223,0.3271,0.4175,0.6078,0.4150,0.2230,0.9874,0.1038,0.1527
